date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:08:10	11123/11123	---M-Z	200	added ('OK')	text/html	date:Tue,%2012%20Aug%202025%2003:07:09%20GMT	https://www.oocities.org/sutekkim/mainpage.html	C:/My%20Web%20Sites/Room73backup/www.oocities.org/sutekkim/mainpage.html	(from )
12:08:11	78/78	---M-Z	200	added ('OK')	text/plain	etag:%2253-61eb08f5bba25-gzip%22	https://www.oocities.org/robots.txt		(from )
12:08:11	22024/22024	---M--	200	added ('OK')	image/jpeg	etag:%225608-4792366fcc8a9%22	https://www.oocities.org/sutekkim/b01.jpeg	C:/My%20Web%20Sites/Room73backup/www.oocities.org/sutekkim/b01.jpg	(from https://www.oocities.org/sutekkim/mainpage.html)
12:08:13	8181/8181	---M-Z	200	added ('OK')	text/html	date:Tue,%2012%20Aug%202025%2003:07:12%20GMT	https://www.oocities.org/sutekkim/pp001.html	C:/My%20Web%20Sites/Room73backup/www.oocities.org/sutekkim/pp001.html	(from https://www.oocities.org/sutekkim/mainpage.html)
12:08:14	8186/8186	---M-Z	200	added ('OK')	text/html	date:Tue,%2012%20Aug%202025%2003:07:13%20GMT	https://www.oocities.org/sutekkim/ld01.html	C:/My%20Web%20Sites/Room73backup/www.oocities.org/sutekkim/ld01.html	(from https://www.oocities.org/sutekkim/mainpage.html)
12:08:14	8191/8191	---M-Z	200	added ('OK')	text/html	date:Tue,%2012%20Aug%202025%2003:07:13%20GMT	https://www.oocities.org/sutekkim/ps001.html	C:/My%20Web%20Sites/Room73backup/www.oocities.org/sutekkim/ps001.html	(from https://www.oocities.org/sutekkim/mainpage.html)
12:08:15	8184/8184	---M-Z	200	added ('OK')	text/html	date:Tue,%2012%20Aug%202025%2003:07:13%20GMT	https://www.oocities.org/sutekkim/k01.html	C:/My%20Web%20Sites/Room73backup/www.oocities.org/sutekkim/k01.html	(from https://www.oocities.org/sutekkim/mainpage.html)
12:08:15	8083/8083	---M-Z	200	added ('OK')	text/html	date:Tue,%2012%20Aug%202025%2003:07:14%20GMT	https://www.oocities.org/sutekkim/up01.html	C:/My%20Web%20Sites/Room73backup/www.oocities.org/sutekkim/up01.html	(from https://www.oocities.org/sutekkim/mainpage.html)
12:08:15	1824/1824	---M--	200	added ('OK')	image/jpeg	etag:%22720-47923670f3768%22	https://www.oocities.org/sutekkim/new.jpg	C:/My%20Web%20Sites/Room73backup/www.oocities.org/sutekkim/new.jpg	(from https://www.oocities.org/sutekkim/mainpage.html)
12:08:16	17567/17567	---M-Z	200	added ('OK')	text/html	date:Tue,%2012%20Aug%202025%2003:07:15%20GMT	https://www.oocities.org/sutekkim/aboutme.html	C:/My%20Web%20Sites/Room73backup/www.oocities.org/sutekkim/aboutme.html	(from https://www.oocities.org/sutekkim/mainpage.html)
12:08:16	10904/10904	---M-Z	200	added ('OK')	text/html	date:Tue,%2012%20Aug%202025%2003:07:15%20GMT	https://www.oocities.org/sutekkim/contactme.html	C:/My%20Web%20Sites/Room73backup/www.oocities.org/sutekkim/contactme.html	(from https://www.oocities.org/sutekkim/mainpage.html)
12:08:17	40353/40353	---M--	200	added ('OK')	image/jpeg	etag:%229da1-4792366fbfd88%22	https://www.oocities.org/sutekkim/artistexchangeb.jpeg	C:/My%20Web%20Sites/Room73backup/www.oocities.org/sutekkim/artistexchangeb.jpg	(from https://www.oocities.org/sutekkim/mainpage.html)
12:08:17	27585/27585	---M--	200	added ('OK')	image/jpeg	etag:%226bc1-4792366ffe589%22	https://www.oocities.org/sutekkim/chippingnortonlogo.jpg	C:/My%20Web%20Sites/Room73backup/www.oocities.org/sutekkim/chippingnortonlogo.jpg	(from https://www.oocities.org/sutekkim/mainpage.html)
12:08:21	4791/4791	---M--	200	added ('OK')	image/jpeg	etag:%2212b7-47923670eaac8%22	https://www.oocities.org/sutekkim/momasmal.jpg	C:/My%20Web%20Sites/Room73backup/www.oocities.org/sutekkim/momasmal.jpg	(from https://www.oocities.org/sutekkim/mainpage.html)
12:08:21	5260/5260	---M--	200	added ('OK')	image/jpeg	etag:%22148c-47923670c68a8%22	https://www.oocities.org/sutekkim/logo.jpg	C:/My%20Web%20Sites/Room73backup/www.oocities.org/sutekkim/logo.jpg	(from https://www.oocities.org/sutekkim/mainpage.html)
12:08:22	4955/4955	---M--	200	added ('OK')	image/jpeg	etag:%22135b-47923670cf548%22	https://www.oocities.org/sutekkim/madebymac.jpeg	C:/My%20Web%20Sites/Room73backup/www.oocities.org/sutekkim/madebymac.jpg	(from https://www.oocities.org/sutekkim/mainpage.html)
12:08:22	8077/8077	---M-Z	200	added ('OK')	text/html	date:Tue,%2012%20Aug%202025%2003:07:21%20GMT	https://www.oocities.org/sutekkim/pp002.html	C:/My%20Web%20Sites/Room73backup/www.oocities.org/sutekkim/pp002.html	(from https://www.oocities.org/sutekkim/pp001.html)
12:08:23	64298/64298	---M--	200	added ('OK')	image/jpeg	etag:%22fb2a-4792367106049%22	https://www.oocities.org/sutekkim/pp001.jpeg	C:/My%20Web%20Sites/Room73backup/www.oocities.org/sutekkim/pp001.jpg	(from https://www.oocities.org/sutekkim/pp001.html)
12:08:23	8080/8080	---M-Z	200	added ('OK')	text/html	date:Tue,%2012%20Aug%202025%2003:07:22%20GMT	https://www.oocities.org/sutekkim/ld02.html	C:/My%20Web%20Sites/Room73backup/www.oocities.org/sutekkim/ld02.html	(from https://www.oocities.org/sutekkim/ld01.html)
12:08:23	84958/84958	---M--	200	added ('OK')	image/jpeg	etag:%2214bde-4792367084228%22	https://www.oocities.org/sutekkim/ld01.jpeg	C:/My%20Web%20Sites/Room73backup/www.oocities.org/sutekkim/ld01.jpg	(from https://www.oocities.org/sutekkim/ld01.html)
12:08:24	50432/50432	---M--	200	added ('OK')	image/jpeg	etag:%22c500-4792366fd16c8%22	https://www.oocities.org/sutekkim/c001.jpeg	C:/My%20Web%20Sites/Room73backup/www.oocities.org/sutekkim/c001.jpg	(from https://www.oocities.org/sutekkim/ps001.html)
12:08:24	8086/8086	---M-Z	200	added ('OK')	text/html	date:Tue,%2012%20Aug%202025%2003:07:23%20GMT	https://www.oocities.org/sutekkim/ps002.html	C:/My%20Web%20Sites/Room73backup/www.oocities.org/sutekkim/ps002.html	(from https://www.oocities.org/sutekkim/ps001.html)
12:08:24	8078/8078	---M-Z	200	added ('OK')	text/html	date:Tue,%2012%20Aug%202025%2003:07:23%20GMT	https://www.oocities.org/sutekkim/k02.html	C:/My%20Web%20Sites/Room73backup/www.oocities.org/sutekkim/k02.html	(from https://www.oocities.org/sutekkim/k01.html)
12:08:25	88095/88095	---M--	200	added ('OK')	image/jpeg	etag:%221581f-479236702e328%22	https://www.oocities.org/sutekkim/k01.jpeg	C:/My%20Web%20Sites/Room73backup/www.oocities.org/sutekkim/k01.jpg	(from https://www.oocities.org/sutekkim/k01.html)
12:08:25	38351/38351	---M--	200	added ('OK')	image/jpeg	etag:%2295cf-4792367060fa8%22	https://www.oocities.org/sutekkim/k09.jpeg	C:/My%20Web%20Sites/Room73backup/www.oocities.org/sutekkim/k09.jpg	(from https://www.oocities.org/sutekkim/up01.html)
12:08:25	8079/8079	---M-Z	200	added ('OK')	text/html	date:Tue,%2012%20Aug%202025%2003:07:24%20GMT	https://www.oocities.org/sutekkim/up02.html	C:/My%20Web%20Sites/Room73backup/www.oocities.org/sutekkim/up02.html	(from https://www.oocities.org/sutekkim/up01.html)
